0,1.13,2.08,3.14,3.99,0.94,1.98,2.9,3.94,4.95,5.6,4.56,3.47,2.57,2.26,2.85,3.3,4.18,5.24,6.31,6.96,5.89,4.82,3.95,3.49,3.72,4.32,4.79,5.68,6.78,7.86,8.49,7.59,6.52,5.65,5.17,4.6,6.04,7.08,7.96,9.17,9.61,8.74,7.75,6.73
1.13,0,0.95,2.01,2.86,1.98,0.85,1.77,2.81,3.82,4.47,3.43,2.34,1.44,3.3,2.73,2.17,3.05,4.11,5.18,5.83,4.76,3.69,2.82,3.36,4.76,4.18,3.66,4.55,5.65,6.73,7.36,6.46,5.39,4.52,5.03,5.64,7.03,5.95,6.83,8.04,8.48,7.61,6.67,7.69
2.08,0.95,0,1.06,1.91,2.89,1.76,0.82,1.86,2.87,3.52,2.51,1.47,2.35,4.21,3.64,3.08,2.18,3.22,4.23,4.88,3.87,2.82,3.73,4.27,5.67,5.09,4.57,3.68,4.77,5.78,6.48,5.58,4.52,5.42,5.94,6.55,7.93,6.85,5.96,7.16,7.61,6.74,7.57,8.59
3.14,2.01,1.06,0,0.85,3.94,2.81,1.87,0.8,1.81,2.46,1.45,2.52,3.4,5.26,4.68,4.12,3.22,2.16,3.17,3.82,2.81,3.86,4.77,5.31,6.72,6.13,5.61,4.72,3.71,4.72,5.42,4.52,5.56,6.46,6.98,7.6,8.97,7.89,7,6.1,6.95,7.78,8.61,9.63
3.99,2.86,1.91,0.85,0,4.79,3.66,2.72,1.65,0.96,1.61,2.3,3.37,4.25,6.11,5.53,4.97,4.07,3.01,2.32,2.97,3.66,4.71,5.62,6.16,7.57,6.98,6.46,5.57,4.56,3.87,4.79,5.37,6.41,7.31,7.83,8.45,9.59,8.51,7.57,6.34,7.19,8.06,9.06,10.08
0.94,1.98,2.89,3.94,4.79,0,1.13,2.07,3.14,4.35,4.95,3.71,2.62,1.72,1.32,1.91,2.45,3.33,4.39,5.59,6.24,5.04,3.97,3.09,2.55,2.78,3.38,3.9,4.83,5.93,7.14,7.63,6.73,5.65,4.75,4.23,3.66,5.1,6.18,7.09,8.31,8.68,7.81,6.81,5.79
1.98,0.85,1.76,2.81,3.66,1.13,0,0.94,2.01,3.22,3.82,2.58,1.49,0.59,2.45,1.88,1.32,2.2,3.26,4.46,5.11,3.91,2.84,1.97,2.51,3.91,3.33,2.81,3.7,4.8,6.01,6.51,5.61,4.54,3.67,4.18,4.79,6.18,5.1,5.98,7.19,7.63,6.76,5.82,6.84
2.9,1.77,0.82,1.87,2.72,2.07,0.94,0,1.07,2.28,2.93,1.72,0.65,1.53,3.39,2.82,2.26,1.36,2.42,3.62,4.27,3.07,2,2.91,3.45,4.85,4.27,3.75,2.86,3.96,5.17,5.67,4.77,3.7,4.6,5.12,5.73,7.11,6.03,5.14,6.35,6.79,5.92,6.75,7.77
3.94,2.81,1.86,0.8,1.65,3.14,2.01,1.07,0,1.21,1.86,0.65,1.72,2.6,4.46,3.88,3.32,2.42,1.36,2.56,3.21,2.01,3.06,3.97,4.51,5.92,5.33,4.81,3.92,2.91,4.11,4.62,3.72,4.76,5.66,6.18,6.8,8.17,7.09,6.2,5.3,6.15,6.98,7.81,8.83
4.95,3.82,2.87,1.81,0.96,4.35,3.22,2.28,1.21,0,0.65,1.86,2.93,3.81,5.67,5.08,4.52,3.62,2.56,1.36,2.01,3.21,4.26,5.17,5.71,7.13,6.53,6.01,5.12,4.11,2.91,3.83,4.73,5.81,6.71,7.23,7.87,8.63,7.55,6.61,5.38,6.23,7.1,8.1,9.12
