1	2	1.13
1	6	0.94
2	3	0.95
2	7	0.85
3	4	1.06
3	8	0.82
4	5	0.85
4	9	0.8
5	10	0.96
6	7	1.13
6	15	1.32
7	8	0.94
7	14	0.59
8	9	1.07
8	13	0.65
9	10	1.21
9	12	0.65
10	11	0.65
11	12	1.24
11	20	0.71
12	13	1.09
12	19	0.71
13	14	0.9
13	18	0.71
14	17	0.73
15	16	0.59
15	26	1.46
16	17	0.56
16	25	0.64
17	18	0.9
17	24	0.65
18	19	1.06
18	23	0.64
19	20	1.2
19	22	0.65
20	21	0.65
21	22	1.21
21	31	0.9
22	23	1.08
22	30	0.9
23	24	0.94
23	29	0.86
24	25	0.54
24	28	0.84
25	27	0.83
26	27	0.64
26	37	0.88
27	28	0.52
27	36	0.85
28	29	0.94
28	35	0.86
29	30	1.1
29	34	0.84
30	31	1.21
30	33	0.81
31	32	0.92
32	33	0.9
32	41	1.55
33	34	1.08
33	41	1.58
34	35	0.9
34	40	1.44
35	36	0.52
35	39	1.43
36	37	0.64
37	38	1.44
38	39	1.08
38	45	0.69
39	40	0.94
39	44	0.72
40	41	1.23
40	43	0.78
41	42	0.85
42	43	0.87
43	44	1
44	45	1.02
